"","Ano","UF","classe","Sexo","Valor_Proj","Valor_Aferido","Comparativo"
"115",2011,"AP","[0,5)","F",38794,34561,0.1091148115688
"116",2011,"AP","[05.10)","F",39469,35049,0.111986622412526
"117",2011,"AP","[10,15)","F",40465,38773,0.0418139132583709
"118",2011,"AP","[15,20)","F",38007,37787,0.00578840739863785
"119",2011,"AP","[20,25)","F",35618,34296,0.0371160649110003
"120",2011,"AP","[25,30)","F",33866,33576,0.00856316069213876
"121",2011,"AP","[30,35)","F",29681,29078,0.0203160270880362
"122",2011,"AP","[35,40)","F",24905,24428,0.0191527805661497
"123",2011,"AP","[40,45)","F",19664,19249,0.0211045565500414
"124",2011,"AP","[45,50)","F",15094,14972,0.00808268186034162
"125",2011,"AP","[50,55)","F",11832,11623,0.0176639621365789
"126",2011,"AP","[55,60)","F",8834,8742,0.0104143083540865
"127",2011,"AP","[60,65)","F",5924,5900,0.00405131667792109
"128",2011,"AP","[65,70)","F",4632,4711,-0.0170552677029353
"129",2011,"AP","[70,75)","F",3267,3093,0.0532598714416902
"130",2011,"AP","[75,80)","F",2219,2222,-0.00135196034249847
"131",2011,"AP","[80,85)","F",1306,1311,-0.00382848392036561
"132",2011,"AP","[85,90)","F",665.000000000001,666,-0.00150375939849538
"133",2011,"AP","90+","F",701,686,0.0213980028530667
"134",2011,"AP","[0,5)","M",40672.9999999999,35886,0.117694785238363
"135",2011,"AP","[05.10)","M",41293,36445,0.117404887026856
"136",2011,"AP","[10,15)","M",41294,39977,0.0318932532571326
"137",2011,"AP","[15,20)","M",37766,37747,0.000503098024677512
"138",2011,"AP","[20,25)","M",35290.9999999999,33697,0.0451673231135403
"139",2011,"AP","[25,30)","M",32465,32025,0.0135530571384575
"140",2011,"AP","[30,35)","M",28411,27812,0.0210833831966478
"141",2011,"AP","[35,40)","M",24359,23937,0.0173241922903226
"142",2011,"AP","[40,45)","M",19963,19675,0.0144266893753433
"143",2011,"AP","[45,50)","M",15701,15447,0.0161773135469097
"144",2011,"AP","[50,55)","M",12425,12160,0.0213279678068416
"145",2011,"AP","[55,60)","M",9163,9036,0.0138600894903416
"146",2011,"AP","[60,65)","M",6114.99999999999,6047,0.0111201962387563
"147",2011,"AP","[65,70)","M",4576,4602,-0.00568181818181838
"148",2011,"AP","[70,75)","M",3125,3028,0.03104
"149",2011,"AP","[75,80)","M",1952,1896,0.0286885245901643
"150",2011,"AP","[80,85)","M",1092,1135,-0.0393772893772894
"151",2011,"AP","[85,90)","M",479,444,0.0730688935281832
"152",2011,"AP","90+","M",367,362,0.0136239782016347
"153",2011,"BA","[0,5)","F",543844,517762,0.0479586057766569
"154",2011,"BA","[05.10)","F",596761,567482,0.049063192802478
"155",2011,"BA","[10,15)","F",657348,648462,0.0135179539604598
"156",2011,"BA","[15,20)","F",665271,669957,-0.00704374608242338
"157",2011,"BA","[20,25)","F",657566,641008,0.0251807423133191
"158",2011,"BA","[25,30)","F",673850,672364,0.00220523855457498
"159",2011,"BA","[30,35)","F",621602.000000001,620599,0.00161357267190372
"160",2011,"BA","[35,40)","F",524889,515238,0.0183867446260062
"161",2011,"BA","[40,45)","F",477276,470926,0.0133046706727344
"162",2011,"BA","[45,50)","F",418812,415604,0.0076597614203992
"163",2011,"BA","[50,55)","F",360177,353632,0.0181716211751454
"164",2011,"BA","[55,60)","F",295138,292072,0.010388360699063
"165",2011,"BA","[60,65)","F",240708,239285,0.00591172707180436
"166",2011,"BA","[65,70)","F",190732,190362,0.00193989472138933
"167",2011,"BA","[70,75)","F",150516,146467,0.0269007945999095
"168",2011,"BA","[75,80)","F",106509,106556,-0.000441277262954441
"169",2011,"BA","[80,85)","F",72024,72188,-0.00227701877152
"170",2011,"BA","[85,90)","F",41432,40537,0.0216016605522302
"171",2011,"BA","90+","F",28830,30446,-0.0560527228581342
"172",2011,"BA","[0,5)","M",568243,534684,0.0590574806904789
"173",2011,"BA","[05.10)","M",619165,589141,0.0484911130312602
"174",2011,"BA","[10,15)","M",681319.999999999,673576,0.0113661715493445
"175",2011,"BA","[15,20)","M",677820,683314,-0.00810539671299113
"176",2011,"BA","[20,25)","M",647084,631522,0.0240494278949872
"177",2011,"BA","[25,30)","M",647366,649078,-0.00264456273576326
"178",2011,"BA","[30,35)","M",593557,594330,-0.00130231805875347
"179",2011,"BA","[35,40)","M",496421,487794,0.0173783945481758
"180",2011,"BA","[40,45)","M",450536,445931,0.010221158797521
"181",2011,"BA","[45,50)","M",392854,389021,0.00975680532716901
"182",2011,"BA","[50,55)","M",331670,327774,0.0117466156119032
"183",2011,"BA","[55,60)","M",263891,258652,0.019852893808428
"184",2011,"BA","[60,65)","M",214115,214806,-0.00322723769936757
"185",2011,"BA","[65,70)","M",164810,164529,0.00170499362902754
"186",2011,"BA","[70,75)","M",123249,120283,0.0240651039765031
"187",2011,"BA","[75,80)","M",80739.0000000001,81311,-0.00708455641016041
"188",2011,"BA","[80,85)","M",51661,51803,-0.00274868856584299
"189",2011,"BA","[85,90)","M",28502,28400,0.00357869623184249
"190",2011,"BA","90+","M",16706,17597,-0.053334131449779
"191",2011,"CE","[0,5)","F",328872,311383,0.0531787443138965
"192",2011,"CE","[05.10)","F",351879,334082,0.0505770449501105
"193",2011,"CE","[10,15)","F",411736,400428,0.0274642003613973
"194",2011,"CE","[15,20)","F",426463,434868,-0.0197086265397008
"195",2011,"CE","[20,25)","F",422918,408276,0.0346213686813986
"196",2011,"CE","[25,30)","F",390381,388276,0.00539216816392102
"197",2011,"CE","[30,35)","F",349936,348241,0.00484374285583567
"198",2011,"CE","[35,40)","F",308113,304742,0.010940791203227
"199",2011,"CE","[40,45)","F",289112,284094,0.0173565953678865
"200",2011,"CE","[45,50)","F",261405,260268,0.00434957250243908
"201",2011,"CE","[50,55)","F",211366,204478,0.0325880226715746
"202",2011,"CE","[55,60)","F",175780,175337,0.00252019569916892
"203",2011,"CE","[60,65)","F",150430,150291,0.000924017815595487
"204",2011,"CE","[65,70)","F",116136,115271,0.00744816422125721
"205",2011,"CE","[70,75)","F",97880,94799,0.0314773191663265
"206",2011,"CE","[75,80)","F",66945,68536,-0.023765777877362
"207",2011,"CE","[80,85)","F",47772,47566,0.00431214937620318
"208",2011,"CE","[85,90)","F",29075,28178,0.0308512467755788
"209",2011,"CE","90+","F",14386,15222,-0.0581120533852358
"210",2011,"CE","[0,5)","M",343573,324242,0.0562646075215466
"211",2011,"CE","[05.10)","M",365393,346645,0.0513091383797731
"212",2011,"CE","[10,15)","M",427011,416388,0.0248775792661075
"213",2011,"CE","[15,20)","M",432725,440995,-0.0191114449130507
"214",2011,"CE","[20,25)","M",413224.000000001,399386,0.0334878903451893
"215",2011,"CE","[25,30)","M",375235,374049,0.00316068597012601
"216",2011,"CE","[30,35)","M",331356,330614,0.0022392834293021
"217",2011,"CE","[35,40)","M",286699,283519,0.0110917722070871
"218",2011,"CE","[40,45)","M",264387,260386,0.0151331192532144
"219",2011,"CE","[45,50)","M",238315,236236,0.00872374798061377
"220",2011,"CE","[50,55)","M",184227,179867,0.0236664549713124
"221",2011,"CE","[55,60)","M",148477,147083,0.00938865952302357
"222",2011,"CE","[60,65)","M",127691,127679,9.397686602826e-05
"223",2011,"CE","[65,70)","M",98176,96968,0.0123044328552806
"224",2011,"CE","[70,75)","M",78216,76554,0.021248849340289
"225",2011,"CE","[75,80)","M",51035,51699,-0.0130106789458224
"226",2011,"CE","[80,85)","M",34764,35166,-0.0115636865723166
"227",2011,"CE","[85,90)","M",20940,20552,0.0185291308500478
"228",2011,"CE","90+","M",9562,9865,-0.0316879313951054
"229",2011,"DF","[0,5)","F",99906,94673,0.0523792364822934
"230",2011,"DF","[05.10)","F",106264,97402,0.0833960701648724
"231",2011,"DF","[10,15)","F",110589,107281,0.0299125591152827
"232",2011,"DF","[15,20)","F",113989,110639,0.0293888006737492
"233",2011,"DF","[20,25)","F",125568,121585,0.0317198649337411
"234",2011,"DF","[25,30)","F",141997,138535,0.0243807967773967
"235",2011,"DF","[30,35)","F",139543,138888,0.00469389363852003
"236",2011,"DF","[35,40)","F",118453,115373,0.0260018741610597
"237",2011,"DF","[40,45)","F",102845,101911,0.0090816276921581
"238",2011,"DF","[45,50)","F",88778,88047,0.00823402194237311
"239",2011,"DF","[50,55)","F",71204,69373,0.0257148474804786
"240",2011,"DF","[55,60)","F",55790,55451,0.00607635777020971
"241",2011,"DF","[60,65)","F",42032,41234,0.0189855348306053
"242",2011,"DF","[65,70)","F",29009,28803,0.00710124444138026
"243",2011,"DF","[70,75)","F",21194,20209,0.0464754175710107
"244",2011,"DF","[75,80)","F",13496,13540,-0.0032602252519265
"245",2011,"DF","[80,85)","F",8494,8343,0.0177772545326113
"246",2011,"DF","[85,90)","F",4539,4293,0.0541969596827495
"247",2011,"DF","90+","F",2209,2282,-0.0330466274332277
"248",2011,"DF","[0,5)","M",104851,98423,0.0613060438145559
"249",2011,"DF","[05.10)","M",111225,100308,0.0981523937963587
"250",2011,"DF","[10,15)","M",113890,110158,0.0327684607955044
"251",2011,"DF","[15,20)","M",111317,108515,0.0251713574745996
"252",2011,"DF","[20,25)","M",121141,116817,0.0356939434213025
"253",2011,"DF","[25,30)","M",129671,126487,0.0245544493371687
"254",2011,"DF","[30,35)","M",123334,122543,0.00641347884606029
"255",2011,"DF","[35,40)","M",104901,102268,0.0250998560547564
"256",2011,"DF","[40,45)","M",92339,91148,0.0128981253858066
"257",2011,"DF","[45,50)","M",76683,75974,0.00924585631756713
"258",2011,"DF","[50,55)","M",59385,57953,0.0241138334596279
"259",2011,"DF","[55,60)","M",45584,45319,0.00581344331344331
"260",2011,"DF","[60,65)","M",33152,32726,0.0128499034749035
"261",2011,"DF","[65,70)","M",22562,22174,0.017197056998493
"262",2011,"DF","[70,75)","M",16594,16081,0.030914788477763
"263",2011,"DF","[75,80)","M",9733,9745,-0.00123291893557999
"264",2011,"DF","[80,85)","M",5340,5219,0.0226591760299625
"265",2011,"DF","[85,90)","M",2466,2286,0.072992700729927
"266",2011,"DF","90+","M",985,1044,-0.0598984771573604
"267",2011,"ES","[0,5)","F",130643,120771,0.0755647068729287
"268",2011,"ES","[05.10)","F",136894,126946,0.0726693646178797
"269",2011,"ES","[10,15)","F",149938,146242,0.0246501887446809
"270",2011,"ES","[15,20)","F",151770,150590,0.00777492258021969
"271",2011,"ES","[20,25)","F",161444,156814,0.0286786749584995
"272",2011,"ES","[25,30)","F",165205,162392,0.017027329681305
"273",2011,"ES","[30,35)","F",157483,156184,0.00824850936291536
"274",2011,"ES","[35,40)","F",137341,134050,0.0239622545343342
"275",2011,"ES","[40,45)","F",127920,126247,0.0130784865540963
"276",2011,"ES","[45,50)","F",120519,119372,0.00951717156630917
"277",2011,"ES","[50,55)","F",107359,104848,0.0233888169599194
"278",2011,"ES","[55,60)","F",88157,87257,0.0102090588382096
"279",2011,"ES","[60,65)","F",65037.9999999999,64194,0.0129770288139234
"280",2011,"ES","[65,70)","F",47881,47251,0.0131576199327499
"281",2011,"ES","[70,75)","F",37633,36518,0.0296282518002828
"282",2011,"ES","[75,80)","F",28084,27909,0.00623130608175422
"283",2011,"ES","[80,85)","F",18617,18586,0.00166514476016525
"284",2011,"ES","[85,90)","F",9690,9123,0.0585139318885445
"285",2011,"ES","90+","F",5478,5194,0.0518437385907272
"286",2011,"ES","[0,5)","M",136570,125367,0.0820311927949033
"287",2011,"ES","[05.10)","M",142990,131811,0.078180292328135
"288",2011,"ES","[10,15)","M",155130,151216,0.0252304518790695
"289",2011,"ES","[15,20)","M",153176,152004,0.00765132918995181
"290",2011,"ES","[20,25)","M",163549,158338,0.0318620107735295
"291",2011,"ES","[25,30)","M",164913,162374,0.0153959966770354
"292",2011,"ES","[30,35)","M",153766,152002,0.0114719768999653
"293",2011,"ES","[35,40)","M",131604,128481,0.0237302817543533
"294",2011,"ES","[40,45)","M",122503,120827,0.0136812976008747
"295",2011,"ES","[45,50)","M",114093,112741,0.0118499820322015
"296",2011,"ES","[50,55)","M",100522,98339,0.0217166391436696
